model,category,or,stde,ll,ul
model_1,1.sex,1.2980301,.17740959,.99299246,1.6967726
model_1,2.age_group,3.4307363,2.5457993,.80121291,14.690166
model_1,3.age_group,5.4679904,3.9747672,1.3154554,22.728951
model_1,4.age_group,8.8805532,6.3601952,2.1818001,36.146404
model_1,5.age_group,7.6783543,5.5044417,1.883912,31.29505
model_1,6.age_group,4.2539239,3.1727138,.98613453,18.350306
model_1,7.age_group,1.043853,.87377614,.20236048,5.3845949
model_1,2.ethnicity,1.1894393,.54335022,.48585108,2.9119332
model_1,3.ethnicity,.22766729,.088149659,.1065926,.48626637
model_1,4.ethnicity,.40808535,.1857944,.16719113,.99606746
model_1,5.ethnicity,.71914148,.32799816,.29416025,1.7581044
model_1,2.imd,.84710091,.18363135,.55387896,1.2955537
model_1,3.imd,1.156711,.23223314,.7804209,1.714434
model_1,4.imd,1.1538229,.23782635,.77035201,1.7281804
model_1,5.imd,1.3495252,.27530712,.90475994,2.0129297
model_1,9.imd,1.1906211,.56105185,.47278652,2.998348
model_1,1.comorbidities,1.4271095,.21140891,1.0674859,1.9078861
model_1,2.comorbidities,1.4028708,.26764208,.96521485,2.0389724
model_1,1.mental_health,1.1288075,.1609004,.85366893,1.4926236
model_1,2.bmi,1.4356934,.23625261,1.0398986,1.9821312
model_1,3.bmi,1.9548515,.37957639,1.3360869,2.8601763
model_1,4.bmi,1.5874387,.38358733,.98858351,2.549063
model_1,1.diabetes,.9434011,.16771631,.66584194,1.3366619
model_1,1.asthma,2.2203302,.30481219,1.6965342,2.9058456
model_2,1.sex,1.2980301,.17740959,.99299246,1.6967726
model_2,2.age_group,3.4532499,2.5625486,.80645096,14.78693
model_2,3.age_group,5.5644083,4.0451756,1.3384999,23.132345
model_2,4.age_group,9.1164446,6.530283,2.2392035,37.115681
model_2,5.age_group,8.0207825,5.7526708,1.9666064,32.712673
model_2,6.age_group,4.5023475,3.3605227,1.0425762,19.443314
model_2,7.age_group,1.0715451,.897071,.20768526,5.5286012
model_2,2.ethnicity,1.1941671,.54554152,.48775703,2.9236591
model_2,3.ethnicity,.23074763,.089414246,.10796882,.49314672
model_2,4.ethnicity,.40978745,.18658088,.16787921,1.0002773
model_2,5.ethnicity,.72727215,.33185369,.29736814,1.778687
model_2,2.imd,.84863675,.18397404,.55487067,1.2979318
model_2,3.imd,1.15697,.23229806,.78057867,1.7148556
model_2,4.imd,1.1567343,.23844589,.77227038,1.7325982
model_2,5.imd,1.36229,.27800348,.91319656,2.0322394
model_2,9.imd,1.1953349,.56331426,.47462636,3.010422
model_2,1.comorbidities,1.4382946,.21307912,1.075833,1.9228742
model_2,2.comorbidities,1.4344827,.27400407,.98651838,2.0858612
model_2,1.mental_health,1.0895762,.15666209,.82199597,1.4442607
model_2,2.bmi,1.4321624,.23561932,1.0374153,1.977115
model_2,3.bmi,1.9204749,.37335002,1.3119907,2.811166
model_2,4.bmi,1.5387193,.37282205,.95701468,2.4740028
model_2,1.diabetes,.97539139,.17426512,.68722945,1.3843824
model_2,1.asthma,2.1900773,.30119476,1.6726159,2.8676267
model_3,1.sex,1.1375273,.17297292,.84436017,1.5324839
model_3,2.age_group,2.2324879,1.6760375,.51256704,9.7236118
model_3,3.age_group,3.7163098,2.7172239,.88663697,15.576791
model_3,4.age_group,5.8124909,4.1791239,1.4202238,23.788542
model_3,5.age_group,4.7815976,3.4449074,1.1649946,19.625565
model_3,6.age_group,2.7513652,2.0765398,.62678748,12.077476
model_3,7.age_group,.65283078,.56612855,.11930177,3.5723531
model_3,2.ethnicity,1.1941671,.54554152,.48775703,2.9236591
model_3,3.ethnicity,.23074763,.089414246,.10796882,.49314672
model_3,4.ethnicity,.40978745,.18658088,.16787921,1.0002773
model_3,5.ethnicity,.72727215,.33185369,.29736814,1.778687
model_3,2.imd,.76950818,.18646652,.47857594,1.2373017
model_3,3.imd,1.0165552,.22886948,.65386719,1.5804194
model_3,4.imd,1.1246729,.2519573,.72499323,1.7446909
model_3,5.imd,1.1728667,.26895651,.74826413,1.8384099
model_3,9.imd,1.506688,.71708304,.59279996,3.8294685
model_3,1.comorbidities,1.7129384,.28417435,1.2374523,2.3711281
model_3,2.comorbidities,1.6656141,.3567737,1.0945799,2.5345528
model_3,1.mental_health,1.0943965,.1740766,.80127406,1.4947491
model_3,2.bmi,1.3157246,.24287683,.91629857,1.8892653
model_3,3.bmi,1.7902604,.39021826,1.1678367,2.7444184
model_3,4.bmi,1.3202916,.36804992,.76451403,2.2801023
model_3,1.diabetes,1.0670403,.21801095,.71493858,1.5925496
model_3,1.asthma,2.5056367,.37727848,1.8653103,3.3657756
