model,category,or,stde,ll,ul
model_1,1.sex,1.516803,.050389249,1.4211885,1.6188504
model_1,2.age_group,1.799415,.15611345,1.5180389,2.1329455
model_1,3.age_group,3.332788,.27215812,2.8398664,3.9112673
model_1,4.age_group,4.343925,.34673104,3.7148359,5.0795474
model_1,5.age_group,4.1909914,.33774731,3.5786514,4.9081082
model_1,6.age_group,2.4423594,.25887668,1.9842067,3.0062997
model_1,7.age_group,.96390629,.13636231,.73049402,1.2718999
model_1,2.ethnicity,.98148948,.14979689,.72773552,1.3237249
model_1,3.ethnicity,.77320319,.045434825,.6890893,.86758453
model_1,4.ethnicity,.67414612,.083077148,.52949005,.85832208
model_1,5.ethnicity,.7616905,.11133037,.5719592,1.0143598
model_1,2.imd,1.226614,.062517017,1.1100042,1.3554742
model_1,3.imd,1.4384818,.071991824,1.30408,1.5867355
model_1,4.imd,1.369202,.070828989,1.2371854,1.5153058
model_1,5.imd,1.3957824,.074434586,1.2572587,1.5495684
model_1,9.imd,1.104241,.13837336,.86377198,1.4116552
model_1,1.comorbidities,1.2477504,.044680007,1.1631815,1.3384678
model_1,2.comorbidities,1.34841,.073151976,1.2123941,1.4996853
model_1,1.mental_health,1.6988689,.057552569,1.5897312,1.8154989
model_1,2.bmi,1.3085353,.055412717,1.2043134,1.4217768
model_1,3.bmi,1.5152078,.084211148,1.3588288,1.6895835
model_1,4.bmi,1.698993,.10810279,1.4997944,1.9246488
model_1,1.diabetes,1.0150729,.052120026,.91789162,1.1225435
model_1,1.asthma,1.5483292,.057311539,1.4399785,1.6648327
model_2,1.sex,1.516803,.050389249,1.4211885,1.6188504
model_2,2.age_group,1.7959099,.1558146,1.5150732,2.128803
model_2,3.age_group,3.3299472,.27193639,2.8374286,3.9079568
model_2,4.age_group,4.3569641,.34778693,3.7259612,5.0948291
model_2,5.age_group,4.2529826,.34279102,3.631505,4.9808168
model_2,6.age_group,2.4871936,.26366445,2.0205736,3.0615718
model_2,7.age_group,.93580937,.13240686,.70917201,1.2348754
model_2,2.ethnicity,.98174846,.14984855,.72790992,1.3241062
model_2,3.ethnicity,.78808326,.046330448,.70231348,.88432765
model_2,4.ethnicity,.67746824,.083493002,.53208935,.8625679
model_2,5.ethnicity,.77288133,.11297534,.58034879,1.0292872
model_2,2.imd,1.2299727,.062693797,1.1130337,1.3591979
model_2,3.imd,1.4427872,.072213486,1.3079721,1.591498
model_2,4.imd,1.3743881,.071102813,1.2418616,1.5210574
model_2,5.imd,1.4019781,.074771613,1.2628279,1.5564612
model_2,9.imd,1.0987592,.13769796,.8594662,1.4046762
model_2,1.comorbidities,1.2505739,.0447676,1.1658384,1.3414681
model_2,2.comorbidities,1.3657206,.073959514,1.2281904,1.5186511
model_2,1.mental_health,1.6017474,.054949597,1.4975892,1.71315
model_2,2.bmi,1.2977918,.054902334,1.1945256,1.4099855
model_2,3.bmi,1.4534761,.080891661,1.3032724,1.620991
model_2,4.bmi,1.5839269,.10115888,1.3975663,1.7951381
model_2,1.diabetes,1.0489552,.053904388,.9484508,1.1601096
model_2,1.asthma,1.5229007,.056397103,1.4162806,1.6375473
model_3,1.sex,1.5042454,.057957467,1.394834,1.6222391
model_3,2.age_group,1.9626055,.21713726,1.5800048,2.4378536
model_3,3.age_group,3.5120642,.37013495,2.8566346,4.3178763
model_3,4.age_group,4.4297948,.45991194,3.6141801,5.4294691
model_3,5.age_group,4.2256112,.44295901,3.4408083,5.1894178
model_3,6.age_group,2.3084807,.30883786,1.7760249,3.0005677
model_3,7.age_group,.97640908,.16832441,.69645345,1.3688995
model_3,2.ethnicity,.98174846,.14984855,.72790992,1.3241062
model_3,3.ethnicity,.78808326,.046330448,.70231348,.88432765
model_3,4.ethnicity,.67746824,.083493002,.53208935,.8625679
model_3,5.ethnicity,.77288133,.11297534,.58034879,1.0292872
model_3,2.imd,1.1232834,.065050684,1.002756,1.2582978
model_3,3.imd,1.2996689,.07446754,1.1616122,1.4541335
model_3,4.imd,1.3417528,.078623161,1.1961739,1.505049
model_3,5.imd,1.3115033,.080826111,1.1622808,1.4798843
model_3,9.imd,1.020668,.15202427,.76225722,1.3666819
model_3,1.comorbidities,1.247578,.05144579,1.1507133,1.3525968
model_3,2.comorbidities,1.3798901,.085715227,1.2217153,1.5585436
model_3,1.mental_health,1.567818,.062147226,1.4506232,1.6944809
model_3,2.bmi,1.2839118,.061673708,1.1685494,1.4106632
model_3,3.bmi,1.3523852,.088065065,1.1903415,1.5364882
model_3,4.bmi,1.5145098,.11215328,1.3099009,1.7510788
model_3,1.diabetes,1.1304432,.067051664,1.0063757,1.2698058
model_3,1.asthma,1.5123323,.064293452,1.3914266,1.643744
